,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
181,34000,1,4,2,23,-1,-1,0,0,0,0,939.35,0,0,0,0,0,0,0,0,0,0,0,0
182,2000,1,4,1,52,-1,-1,0,0,0,0,98.59,0,0,0,0,0,0,0,0,0,0,0,0
183,7000,2,4,2,27,-1,-1,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0
184,35000,2,4,1,55,-1,-1,0,0,0,0,44.17,0,0,0,0,0,0,0,0,0,0,0,0
185,14000,1,4,1,31,-1,-1,0,0,0,0,415.37,0,0,0,0,0,0,0,0,0,0,0,0
186,14000,1,4,2,25,-1,-1,0,0,0,0,0,0,0,0,0,0,59.43,0,0,0,0,0,0
187,35000,2,4,2,50,-1,-1,0,0,0,0,16.68,0,0,0,0,0,35000,0,0,0,0,0,0
188,14000,1,4,1,40,-1,-1,0,0,0,0,59.43,0,0,0,0,0,0,0,0,0,0,0,0
189,21000,1,4,3,51,-1,-1,0,0,0,0,16.3,0,0,0,0,0,21000,0,0,0,0,0,0
190,35000,2,4,1,49,-1,-1,0,0,0,0,82.32,0,0,0,0,0,0,0,0,0,0,0,0
191,10000,1,4,2,29,-1,-1,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
192,21000,1,4,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,7000,2,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,21000,2,4,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,21000,1,4,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,35000,2,4,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,35000,1,4,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,14000,1,4,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,14000,1,4,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3000,1,4,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,14000,1,4,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
